_id,en_word,en_definition,example,synonyms,antonyms
363,ADAPT,"vt thil dang thawn remcang dingih tuah, remh, remcang ter.",NA,NA,NA
367,ADD,"vt kom, bet, belh.",NA,NA,NA
371,ADDICT,"vt  zongsang, cuai",NA,NA,NA
375,ADDITION,"n komnak, betnak",NA,NA,NA
379,ADDRESS,"n umnak hmun, khua le ram.",NA,NA,NA
387,ADDRESS,"vt thusim, ko",NA,NA,NA
389,ADEQUATE,"adj a tawk, a daih, a kim.",NA,NA,NA
392,ADHESIVE,adj a bek mi ; a hnang mi.,NA,NA,NA
393,ADJACENT,"adj a nai mi, a peh-aw mi.",NA,NA,NA
395,ADJECTIVE,"n (grammar) thil hi ziang tivek I si ti simtu tongfang, sinak simfiang tu.",NA,NA,NA
398,ADJOURN,"vt bang lawk, cawl-um lawk, thin",NA,NA,NA
400,ADJUST,"vt rem, deng-awter.",NA,NA,NA
415,ADJUTANT BIRD,"n vaca, matsa.",NA,NA,NA
422,ADJUTANT BIRD,n ralkap hotu a bawmtu ralbawi.,NA,NA,NA
432,ADMINISTER,"vt tawlrel,uk, si pek",NA,NA,NA
434,ADMINISTRATION,"n tawlrelnak, acozah, uknak.",NA,NA,NA
438,ADMIRABLE,adj nungbangza lawmtlak a si mi.,NA,NA,NA
446,ADMIRAL,n ti ralkap lawng hotu.,NA,NA,NA
450,ADMIRE,"vt ngaisang, uar.",NA,NA,NA
453,ADMISSION,"n luhnak, luh siannak",NA,NA,NA
454,ADMIT,"vt luhter, phuang.",NA,NA,NA
455,ADMONISH,"vt hriing, thusim, nunsim.",NA,NA,NA
456,ADOLESCENT,"n  tleirawl, kum 13 le kum 21 karlak a si mi fal le tlangval",NA,NA,NA
457,ADOPT,"vt mi dang fa mah fa Ih canter, mah ta-ih tuah.",NA,NA,NA
461,ADORE,"vt bia (Pathian), duh nasa, upat.",NA,NA,NA
465,ADULT,"n upa a kim zo mi, patling, nutling.",NA,NA,NA
467,ADULTERY,"n mi-ih pasal, a si lo le mi-ih nupi thawi sual.",NA,NA,NA
471,ADVANCE,"v pek lawk, pek cia sung, suahsak cia.",NA,NA,NA
473,ADVANCED,"adj  hmai nor mi, thangso mi",NA,NA,NA
474,ADVANCEMENT,n  thansohnak.,NA,NA,NA
476,ADVANTAGE,"n miatnak, maihrang that-hnemnak.",NA,NA,NA
479,ADVENT,"n Jesuh Krih a ratnak can, ratnak.",NA,NA,NA
481,ADVENTURE,"n tuksumza thil tuahnak, a lamdang mi le tihnungmi thiltuahnak, tingam.",NA,NA,NA
482,ADVERSARY,"n dodaltu, raal.",NA,NA,NA
486,ADVERSE,"adj a sia mi. dung a tun aw mi, a dodal aw mi.",NA,NA,NA
489,ADVERSITY,"n  van siatnak, naunak, harsatnak.",NA,NA,NA
491,ADVERTISE,"n theihter, than, tarlang.",NA,NA,NA
494,ADVERTISEMENT,"n mi zapi theihternak , thuthan.",NA,NA,NA
498,ADVICE,"n ruahnak, khuaruahnak, thu tiam.",NA,NA,NA
520,ADVISE,"vt  ruahnak pek, ron, thutiam.",NA,NA,NA
524,ADVOCATE,"n zung thu rel tikih dinpitu sihni, tanpitu.",NA,NA,NA
527,ADZE,"n vai hrei tlung, lettama hrei ( hasek ).",NA,NA,NA
532,AERODROME,n vanzamleng cawlhhmun.,NA,NA,NA
536,AEROPLANE,n vanzamleng.,NA,NA,NA
537,AESTHETIC,adj thilmawi theih thiam.,NA,NA,NA
544,AFAR,adv hlatpi-ah,NA,NA,NA
560,AFFAIR,"n thu, thu hla, tuan ding mi hnaa.",NA,NA,NA
563,AFFECT,"vt thlengter, (thatnak lam a si lo le siatnak lamah) thinsung lut.",NA,NA,NA
568,AFFECTION,"n duhnak, ngainatnak.",NA,NA,NA
570,AFFILIATE,"vt pawlah terter, peh ter.",NA,NA,NA
572,AFFIRM,"vt a si vekih sim, hngetter.",NA,NA,NA
575,AFFIX,"vt ti thei, celh thei, paih, thil tinak ding tangka nei thei.",NA,NA,NA
578,AFFRONT,"vt  hmunhsuam, namneh, hmailam ih sin rak hnaihnok.",NA,NA,NA
581,AFRAID,"vt tih, phang, laau.",NA,NA,NA
583,AFRICA,n Afrika ram.,NA,NA,NA
586,AFRESH,adv thar thawhsal. Phundangin.,NA,NA,NA
589,AFTER,"adv&prep hnu-ah,theh-ah,dungah",NA,NA,NA
590,AFTERNOON,n sunhnu.,NA,NA,NA
593,AFTERWARDS,adv a nehhnu-ah,NA,NA,NA
595,AGAIN,"adv leh,saal, lala.",NA,NA,NA
598,AGAINST,"prep dungtun, duh lo zawng, a si lo zawng, ralsan, hngai hngamin",NA,NA,NA
606,AGE,n kum. San. Caan,NA,NA,NA
609,AGED,"adj a tar mi, a kum a tam mi.",NA,NA,NA
611,AGELESS,adj tar thei lo mi.,NA,NA,NA
614,AGENDA,"n thu rel ding, thu ruah ding.",NA,NA,NA
615,AGENT,"n ai-awhtu, midang ai a awhtu, ti saktu.",NA,NA,NA
616,AGGRANDIZE,"vt tuumter, upater, thupitter.",NA,NA,NA
624,AGGREVATE,"vt siatter sinsin, siatter bet.",NA,NA,NA
625,AGGRESSION,"n  raal thoknak, do awk thoknak.",NA,NA,NA
626,AGGRESSIVE,"adj mi puar mi, doh duh mi, raal puar mi, raal thok duh mi.",NA,NA,NA
633,AGGRESSOR,"n mi do hmaisatu, mi tok hmaisatu, do hmaisatu.",NA,NA,NA
634,AGGRIEVE,"vt  nehsawh ih namnuai, mi thin natter, namsuk.",NA,NA,NA
635,AGILE,"adj marzaang mi, khulzaang mi , khulrang mi, zam a rang mi.",NA,NA,NA
639,AGITATE,"vt nas zetin caangvaiter, hninter ciammam, hnaihnokter, mi zapi forh.",NA,NA,NA
641,AGLOAW,"adj meisa a ling mi, a vaaam mi.",NA,NA,NA
646,AGNOSTIC,"n Pahian a um ti hi theih thih theih a si ti-ih a zumlotu, thih hnu-ah nunnak a um ti a zumlotu.",NA,NA,NA
647,AGO,"adv lai-ah, e.g; long ago.. Hlanlai pi ah.",NA,NA,NA
650,AGONY,"n  thinlung le taksa tuarnak, natnak.",NA,NA,NA
654,AGREE,"vt lungkim, remter, awi, ruahnak bang-aw.",NA,NA,NA
662,AGREEMENT,"n lungkimnak, remnak.",NA,NA,NA
663,AGRICULTURE,n lothlawh lam thuhla.,NA,NA,NA
665,AGROUND,"adv tang, lawng a tang ti vek (leilung a tawt ih a tang.)",NA,NA,NA
666,AHEAD,adv hmaiah.,NA,NA,NA
668,AID,"vt bawm, tanpi",NA,NA,NA
669,AID,n bawmnak tanpinak.,NA,NA,NA
674,AILMENT,"n natnak, derthawmnak.",NA,NA,NA
676,AIM,"vt tumtah, tin , bih (meithal bih)",NA,NA,NA
679,AIMLESS,"adj tum mi nei lo, tumtah mi nei lo.",NA,NA,NA
680,AIR,"n thli, hla aw, vaan. ",NA,NA,NA
685,AIR ,"vt  pho , thli sem, thu suahpi.",NA,NA,NA
687,AIRCRAFT,n vanzamleng.,NA,NA,NA
689,AIR-CRAFT CARRIER,n vanzam phurtu lawngpi,NA,NA,NA
690,AIR-DROME,n vanzamleng cawlhhmun.,NA,NA,NA
691,AIR-FORCE,n vanzam raalkap.,NA,NA,NA
693,AIR-FIELD,n vanzamleng cawlhhmun.,NA,NA,NA
694,AIR-GUN,n thli meithal.,NA,NA,NA
697,AIR-LINE,n thil phur vanzam,NA,NA,NA
703,AIR-MAIL,n vanzamleng kuat mi thilri le ca pawl,NA,NA,NA
707,AIR-PILOT,n vanzam mawngtu,NA,NA,NA
708,AIR-TIGHT,adj thli suak lo lut lo-ih a pit remrem mi.,NA,NA,NA
709,AIR-WAY,n vanzam fehnak zin. ,NA,NA,NA
726,AJAR,"adj ong, malte ong.",NA,NA,NA
730,AKIN,"adj unau aw mi, pom aw mi, bang mi.",NA,NA,NA
740,ALARM,"vt ralringter, lauter.",NA,NA,NA
744,ALARM,n  thin phannak a um ti thannak. Thannak.,NA,NA,NA
745,ALBUM,n  zuk retnak cabu.,NA,NA,NA
748,ALCHEMY,n  thir kha sui ih canter thiamnak zimak. *,NA,NA,NA
753,ALCHOHOL,"n zureu, sir zuu, mi ri thei mi,",NA,NA,NA
754,ALE,n biar zuu.,NA,NA,NA
755,ALERT,"adj ring cia mi, ralring mi.",NA,NA,NA
758,ALGAE,n tisung um hrampi phunkhat.,NA,NA,NA
761,ALGEBRA,"n cafang hmang ih thil tuatnak, cafang kanan, e.g : a x b = ab",NA,NA,NA
766,ALIAS,"n  hmin dang, mi bumnak in sak men mi hmin",NA,NA,NA
770,ALIEN,"n  ramdang mi, a dang mi.",NA,NA,NA
772,ALIGHT,"vt a alh mi, a hliau mi.",NA,NA,NA
775,ALIKE,"adj  a nung mi, thi hrih lo mi. nunnak thawn a khat mi,",NA,NA,NA
777,ALL,"adj a zaten, a khuaten, a zapi-in",NA,NA,NA
781,ALLEGE,"vt a si rori ti-ih puh, puh thluk",NA,NA,NA
783,ALLEVIATE,"vt tuar ol deuh ih tuah, malter, dem ter.",NA,NA,NA
784,ALLEY,n inn lak zin fiakte.,NA,NA,NA
786,ALLIANCE,"n rual awknak, tan khatnak.",NA,NA,NA
788,ALLIGATOR,n tisaartam phunkhat.,NA,NA,NA
791,ALLOT,"vt sem,zem, thensak.",NA,NA,NA
792,ALLOW,"vt siang, tuah siang, ti siang, peek.",NA,NA,NA
794,ALLOTMENT,"n  peek mi, zem mi, thensak mi,",NA,NA,NA
796,ALLURE,vt leem.,NA,NA,NA
797,ALLY,"n rual, tanpi, phiarpi, tanpitu ram.",NA,NA,NA
801,ALMANAC,"n ni le thla kum le ni suah caan, ni tlak caan pawl khum mi cabu.",NA,NA,NA
807,ALMIGHTY,"n Pathian, ziang tinkim a tuahtheitu.",NA,NA,NA
810,ALMIRAH,n bizu,NA,NA,NA
811,ALMOST,"adv zik, zikte.",NA,NA,NA
813,ALMS,"n farah bawmnak thilri, kutdawh.",NA,NA,NA
815,ALONE,"adv pakhat lawng, a paak, mah lawng.",NA,NA,NA
818,ALONG,"adv hnenah, tluanah.",NA,NA,NA
826,ALOUD,"adv ring zetin, thang zetin.",NA,NA,NA
828,ALPHA,"n Krik cafang hmaisa bik, a hmaisa bik.",NA,NA,NA
831,ALPHABET,"n cangan tikih hman mi cafang. (a, b, c, d, e, f, pawl tla)",NA,NA,NA
834,ALREADY,"adv zo, a si zo.",NA,NA,NA
840,ALSO,adv  khal. ( kei khal),NA,NA,NA
845,ALTAR,"n  Kristian biak inn sungih hmun saangbik, a thiang hlim mi hmun, thawinak rawl hnunnak theng.",NA,NA,NA
847,ALTERNATE,"adj a lak kaalh mi, a tleithlak mi.",NA,NA,NA
851,ALTERNATIVE,adj hril ding dang.,NA,NA,NA
853,ALTHOUGH,"aonj khal sehla, hmanah, na-in.",NA,NA,NA
855,ALTITUDE,n tipi thuanthum ihsin a sannak.,NA,NA,NA
856,ALTOGETHER,"adv a zaten, a seenpi-in.",NA,NA,NA
861,ALUM,n lungthur.,NA,NA,NA
863,ALUMINIUM,n beelraang tuahnak beeel thir phunkhat.,NA,NA,NA
866,ALWAYS,"adv ringring, cat lo-in, camcin.",NA,NA,NA
869,A.M OR A:M,"ante meridiem suun hlan, nazi hleihnih hlan",NA,NA,NA
871,AMAZE,"vt  mangbang, vuavi.",NA,NA,NA
875,AMAZON,n America thlanglam ih um mi tiva pi. (leitlun tiva tumbik),NA,NA,NA
877,AMBASSADOR,"n ramdang um acozah aiawhtu, palai.",NA,NA,NA
879,AMBER,n  thi hna.,NA,NA,NA
881,AMBIGUOUS,"adj a suullam a dangdang a um ruagih a fiang lo mi, ziang bik a si ti a fiang lo mi.",NA,NA,NA
882,AMBITION,"n tum mi, saduhthah.",NA,NA,NA
884,AMBITIOUS,"adj tumsaang mi, ruat saaang mi, saduh-that thei zet mi.",NA,NA,NA
886,AMBULANCE,n mina phurhnak mawtawka.,NA,NA,NA
887,AMBUSH,"vt bawh thup, lamlak-in rak bawh.",NA,NA,NA
888,AMEN,"interj thlacam tikih hman mi amen, se hramseh tinak a si.",NA,NA,NA
893,AMEND,"vt tuah tha deuh, nun thiin.",NA,NA,NA
895,AMERICA,n America ram.,NA,NA,NA
898,AMIABLE,"adj pawl nuam, rualpi tha, duhnung.",NA,NA,NA
901,AMID,"prep a laiah, laifangah, rero laiah.",NA,NA,NA
903,AMMUNITION,n cerek le zian le ziandawng pawl.,NA,NA,NA
909,AMONGST,"prep lakah, hnenah.",NA,NA,NA
913,AMOROUS,"adj caai, mi caai thei zet, ngai.",NA,NA,NA
918,AMOUNT,"n a zate kom, um zat.",NA,NA,NA
922,AMPHIBIOUS,adj  ti sung le leitlunah a nungcang thei mi.,NA,NA,NA
924,AMPLE ,"adj a kaupi, tumpi, tampi.",NA,NA,NA
926,AMPLIFIER,"n aw rinternak cet, aw thanternak cet.",NA,NA,NA
928,AMPUTATE,vt tan bul.,NA,NA,NA
937,AN,"adj (a) can ai-ih hman mi, pakhat tinak a si, a, e, I, o , u hmaiah ""a"" si lo in ""an"" hman a si, an egg tivek in.",NA,NA,NA
938,ANAEMIA,n thisen mal natnak.,NA,NA,NA
941,ANAESTHETIC,"n a langte lung mihnak sii, Hi mi sii an peek tikah nat a n thei lo ih sii bawi in taaksa an ah sak thei.",NA,NA,NA
942,ANATOMY,"n taksa rai le a aat daan zirnak, taaksa um daan zirnak.",NA,NA,NA
949,ANCESTER,"n pupa, cii thlah tu",NA,NA,NA
963,ANCIENT,"adj pupa san ihta, a hlun mi, khuahlan.",NA,NA,NA
965,AND,conj le e.g a table and four chairs.,NA,NA,NA
968,ANGEL,"n van mi, Pathian nalaang. Singel.",NA,NA,NA
969,ANGER,"n  thin heengnak, ai thoknak",NA,NA,NA
970,ANGLE,n a kil. Riin ding zet pahnih tonawknak hmun. Ngasio le a hridai.,NA,NA,NA
972,ANIMAL,"n ramsa, inn zuat sum hnam.",NA,NA,NA
978,ANGRY,"vt thinheeng, ai thok.",NA,NA,NA
982,ANKLE,n ke mit.,NA,NA,NA
984,ANNALS,n a kum a kum in ngan mi thuhla cauk.,NA,NA,NA
985,ANNEX,"vt  bercih, laak , a fate mi a tumpi-ah betcih, belh.",NA,NA,NA
988,ANNIVERSARY,"n kum kimnak, kum letnak, a cam",NA,NA,NA
989,ANNOUNCE,"vt than , theiter.",NA,NA,NA
992,ANNOY,"vt hnaihnok, thinheengter, capoh.",NA,NA,NA
994,ANNUAL,n  kum tin.,NA,NA,NA
996,ANNUL,vt nuai hlo. Ziang hman lo in-ih canter. Siatbal saal.,NA,NA,NA
997,ANOINT,"vt hriak culh, hriak thih.",NA,NA,NA
1000,ANON,"adj hmakhat, lohli, zamrang zet in, saal.",NA,NA,NA
1002,ANOTHER,adj a dang mi.,NA,NA,NA
1003,ANSWER,"vt sawn, letrul, kanan tuah tikih a ngah mi, a phii",NA,NA,NA
1007,ANSWER,"n  sawnnak, lehrulhnak",NA,NA,NA
1008,ANT,"n sihte, sihsen.",NA,NA,NA
1009,ANTAGONIST,"n raal, dotu, zuamtu, dodal tu.",NA,NA,NA
1010,ANTELOPE,"n sazaa phunkhat, a ki a sau zet mi sazaa ( zaatum)",NA,NA,NA
1011,ANTENNA,n  cucik kharbok pawlih ki. Redio aw kaihnak le thlahnak I hman mi thirhri.,NA,NA,NA
1013,ANTHEM,"n hlarem, ram hla, Pathian thangthatnak hla.",NA,NA,NA
1015,ANTHROPOLOGY,n milai thu-hla zirnak,NA,NA,NA
1017,ANTICIPATE,vt ring,NA,NA,NA
1020,ANTIQUE,"adj a hlun mi, hlan thilri.",NA,NA,NA
1021,ANTIQUITY,"n thil hlun, khuahlaan thil",NA,NA,NA
1022,ANTLERS,n  zukneng ki.,NA,NA,NA
1023,ANUS,n  tawkua.,NA,NA,NA
1024,ANVIL,"n  so lung, so dam, so dennak ih phah mi thir maw lungto maw…",NA,NA,NA
1027,ANXIETY,"n  khuaruah harnak, domtamnak, thin phannak, seherhnak.",NA,NA,NA
1028,ANXIOUS,"vt lamhar, seherh, donhar, phang, khua ruah har.",NA,NA,NA
1029,ANY,"adj pakhat khat, khui khal.",NA,NA,NA
1030,ANY BODY,"n mi pakhat khat, zo khal",NA,NA,NA
1033,ANY HOW,"adj ziang ti'n khal, ziang ti khal le.",NA,NA,NA
1035,ANY ONE,"n  zo khal, mi pakhat khat.",NA,NA,NA
1036,ANYTHING,"n ziang khal, thil pakhat khat.",NA,NA,NA
1038,ANYWHERE,adv khui khalah,NA,NA,NA
1043,APART,"adv a hlatnakah, a dangdangah, then darh.",NA,NA,NA
1044,APARTMENT,"n inn khaan fatete, pindan.",NA,NA,NA
1048,APE,"n  zawng mei nei lo , huho.",NA,NA,NA
1049,APERTURE,"n a one, a kua.",NA,NA,NA
1055,APOLOGIZE,"vt leem, ngaithiam dil, sualnak langter.",NA,NA,NA
1059,APOSTLE,"n  Bawi Jesuh thluntu (12), Kristian hna tuantu.",NA,NA,NA
1061,APOSTROPHE,"n (') ti tiih nang mi, apostofi",NA,NA,NA
1063,APPAL,"vt tih, thinphang",NA,NA,NA
1064,APPARITION,"n mithla, mithi thla.",NA,NA,NA
1069,APPEAL,"vt azukhaan, zungsang deuh-ih azukhaan, zaangfah diil, lupu, ngen.",NA,NA,NA
1074,APPEAR,"vt hung lang, a ra suak, mi hmuh theih-ih hung suak.",NA,NA,NA
1078,APPEARANCE,"n langdaan, hmuihmel, a hmui.",NA,NA,NA
1079,APPEASE,"vt daiter. Rehter, ti lungawi, tlawn lungawi.",NA,NA,NA
1081,APPENDIX,"n  a hleifuan bet cih mi, ril thleifuan, ril peeng.",NA,NA,NA
1088,APPETITE,"n  rawl kaa thaw, rawl duhnak, tuk thatnak, duk",NA,NA,NA
1092,APPLAUD,vt kut beeng la au phah-ih hlorh. Porh ciamco,NA,NA,NA
1095,APPLE,"n thingthei phunkhat, epal rah.",NA,NA,NA
1101,APPLICANT,"n diltu, ziang maw diltu.",NA,NA,NA
1102,APPLICATION,"n dilnak, thil hnih",NA,NA,NA
1104,APPLY,"vt dil, ngen, hnih, thuh,",NA,NA,NA
1124,APPOINT,"vt hnatuan pek, khih, tiam.",NA,NA,NA
1126,APPOINTMENT,"n tong aw ding ih tiam awknak. Hnatuan peknak, khih mi.",NA,NA,NA
1130,APPRECIATE,"vt lawm, lungawi, lungkim, uar,",NA,NA,NA
1133,APPREHEND,"vt theithiam, kai, misual kai.",NA,NA,NA
1135,APPRENTICE,"n hnatuan zirtuk, hnatuan thoktu.",NA,NA,NA
1139,APPROACH,"vt pan, naih, runnaih, dil/",NA,NA,NA
1141,APPROPRIATE,"adj a remcang, a tawkzawn, a mawizawn.",NA,NA,NA
1148,APPROVAL,"n lunkim pinak, siannak.",NA,NA,NA
1149,APPROXIMATELY,"adv. hrawn, tluk, zik te.",NA,NA,NA
1150,APRIL,"n Mirang thla siarnak ih thlalinak, Fangno-thla",NA,NA,NA
1158,AQUEDUCT,"n titler, ti laknak thler tumpi, lilawn tler",NA,NA,NA
1163,ARABLE,adj thlawh ding atha mi ram.,NA,NA,NA
1165,ARCH,"n  a kual, a kuun, thil kual, a kawn mi, khanro vekih a kual mi.",NA,NA,NA
1169,ARCHAELOGY,n  thil hlun thu zirnak.,NA,NA,NA
1172,ARCHER,"n li le conkiang kaptu, thal kap thiam,",NA,NA,NA
1174,ARCHITECT,n inn sak thiam.,NA,NA,NA
1180,ARE,adv tla pawl tla.,NA,NA,NA
1199,AREA,"n  a tuum le a seen, a kauh dan, a hmun, bial then.",NA,NA,NA
1200,ARGUE,"vt thu el-aw, kam cuh-aw.",NA,NA,NA
1201,ARGUEMENT,n el awknak.,NA,NA,NA
1204,ARID,"adj ramcar, ramro, thlawh tul mi ram.",NA,NA,NA
1206,ARISE,"vt tho, suak, a ra cang.",NA,NA,NA
1211,ARISTOCRAT,n phun hnam upa.,NA,NA,NA
1213,ARITHMETIC,"n thil tuat daan, ka naan.",NA,NA,NA
1215,ARK,"n  kuang, thing kuang, Bible ah cun thu kham (10) kuang a si lo le Noah lawng, zawnbawm.",NA,NA,NA
1218,ARM,"n cawn, baan, liangihsin kut tiang.",NA,NA,NA
1219,ARM-CHAIR,n  kut kaih nei tokheng.,NA,NA,NA
1220,ARMOUR,n  hlan lai-ih an rak hruk mi dar phaw.,NA,NA,NA
1226,ARMY,n raalkap tampi.,NA,NA,NA
1231,AROUND,"prep kiangkap, kimveel, hrawng.",NA,NA,NA
1232,AROUSE,"vt thang, thin tho , lungtho.",NA,NA,NA
1235,ARRANGE,"vt rem tha, ruat rem, tawlrel.",NA,NA,NA
1237,ARRANGEMENT,"n  rem ruatnak, tawlrelnak, tuahremnak.",NA,NA,NA
1240,ARREARS,"n a taang mi theh lo mi, tangka a taang mi.",NA,NA,NA
1242,ARREST,vt thu sual ruang-ih kai.. Kai..,NA,NA,NA
1243,ARRIVE,"vt run thleng, hmunkhatah rung thleng, baan.",NA,NA,NA
1246,ARROGANT,"adj porh-aw, zum-aw.",NA,NA,NA
